fight_num,date,location,event,result_1,result_2,weight_class,fighter_1,fighter_2,method,round,time,time format,referee,details,kd_1,kd_2,kd_received_1,kd_received_2,sig_str_landed_1,sig_str_landed_2,sig_str_attempts_1,sig_str_attempts_2,sig_str_received_1,sig_str_received_2,sig_str_avoided_1,sig_str_avoided_2,sig_str_percent_1,sig_str_percent_2,str_landed_1,str_landed_2,str_attempts_1,str_attempts_2,str_received_1,str_received_2,str_avoided_1,str_avoided_2,str_percent_1,str_percent_2,td_landed_1,td_landed_2,td_attempts_1,td_attempts_2,td_received_1,td_received_2,td_avoided_1,td_avoided_2,td_percent_1,td_percent_2,sub_att_1,sub_att_2,rev_1,rev_2,ctrl_1,ctrl_2,sig_reg_mixture_1,sig_reg_percent_1,sig_reg_mixture_2,sig_reg_percent_2
1,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,Scott Morris,Sean Daugherty,Submission,1,0:20,No Time Limit,John McCarthy,Guillotine Choke From Mount,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,100%,0%,2.0,1.0,2.0,5.0,1.0,2.0,4.0,0.0,1.0,0.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,1.0,0.0,0.0,0.0,--,--,0.5,1.0,0.8,0.1111111111111111
2,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,Patrick Smith,Ray Wizard,Submission,1,0:58,No Time Limit,John McCarthy,Guillotine Choke Standing,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100%,100%,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0%,---,1.0,0.0,0.0,0.0,--,--,1.0,1.0,0.5,1.0
3,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,Johnny Rhodes,David Levicki,KO/TKO,1,12:13,No Time Limit,John McCarthy,Punches to Head From Guard Submission to Strikes,0.0,0.0,0.0,0.0,11.0,4.0,17.0,5.0,4.0,11.0,1.0,6.0,64%,80%,74.0,95.0,86.0,102.0,95.0,74.0,7.0,12.0,0.8604651162790697,0.931372549019608,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,0.0,0.0,0.0,0.0,--,--,0.1976744186046511,0.8252427184466019,0.0490196078431372,0.9252336448598132
4,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,Frank Hamaker,Thaddeus Luster,Submission,1,4:52,No Time Limit,John McCarthy,Keylock From Half Guard,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,66%,---,14.0,0.0,15.0,0.0,0.0,14.0,0.0,1.0,0.9333333333333332,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,100%,0%,3.0,0.0,1.0,0.0,--,--,0.2,0.8888888888888888,0.0,0.0
5,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,Orlando Wiet,Robert Lucarelli,KO/TKO,1,2:50,No Time Limit,John McCarthy,to Corner Stoppage,0.0,0.0,0.0,0.0,8.0,2.0,12.0,6.0,2.0,8.0,4.0,4.0,66%,33%,11.0,2.0,15.0,6.0,2.0,11.0,4.0,4.0,0.7333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,---,100%,0.0,1.0,0.0,0.0,--,--,0.8,0.7037037037037037,1.0,0.3333333333333333
6,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,Remco Pardoel,Alberta Cerra Leon,Submission,1,9:51,No Time Limit,John McCarthy,Ezekiel Choke From Side Control,0.0,0.0,0.0,0.0,4.0,1.0,6.0,3.0,1.0,4.0,2.0,2.0,66%,33%,20.0,9.0,22.0,11.0,9.0,20.0,2.0,2.0,0.9090909090909092,0.8181818181818182,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,1.0,0.0,0.0,0.0,--,--,0.2727272727272727,0.8571428571428571,0.2727272727272727,0.7142857142857143
7,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,Jason DeLucia,Scott Baker,Submission,1,6:41,No Time Limit,John McCarthy,Triangle Choke From Mount,0.0,0.0,0.0,0.0,3.0,0.0,5.0,2.0,0.0,3.0,2.0,2.0,60%,0%,20.0,14.0,25.0,23.0,14.0,20.0,9.0,5.0,0.8,0.6086956521739131,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0%,100%,5.0,0.0,4.0,2.0,--,--,0.2,0.7666666666666667,0.0869565217391304,0.56
8,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,Royce Gracie,Minoki Ichihara,Submission,1,5:08,No Time Limit,John McCarthy,Armbar On Ground,0.0,0.0,0.0,0.0,2.0,3.0,4.0,7.0,3.0,2.0,4.0,2.0,50%,42%,110.0,12.0,114.0,16.0,12.0,110.0,4.0,4.0,0.9649122807017544,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,2.0,0.0,0.0,0.0,--,--,0.0350877192982456,0.9491525423728814,0.4375,0.6521739130434783
9,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,Patrick Smith,Scott Morris,KO/TKO,1,0:30,No Time Limit,John McCarthy,Elbows to Head From Mount,0.0,0.0,0.0,0.0,13.0,0.0,17.0,0.0,0.0,13.0,0.0,4.0,76%,---,19.0,0.0,25.0,0.0,0.0,19.0,0.0,6.0,0.76,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,---,0%,0.0,0.0,0.0,0.0,--,--,0.68,0.7619047619047619,0.0,0.0
10,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,Johnny Rhodes,Fred Ettish,Submission,1,3:07,No Time Limit,John McCarthy,Bulldog Choke On Ground,1.0,0.0,0.0,1.0,13.0,4.0,29.0,7.0,4.0,13.0,3.0,16.0,44%,57%,21.0,7.0,38.0,11.0,7.0,21.0,4.0,17.0,0.5526315789473685,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,---,---,1.0,0.0,0.0,0.0,--,--,0.7631578947368421,0.5074626865671642,0.6363636363636364,0.6111111111111112
11,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,Remco Pardoel,Orlando Wiet,KO/TKO,1,1:29,No Time Limit,John McCarthy,Elbows to Head From Side Control,0.0,0.0,0.0,0.0,7.0,1.0,7.0,2.0,1.0,7.0,1.0,0.0,100%,50%,7.0,5.0,7.0,7.0,5.0,7.0,2.0,0.0,1.0,0.7142857142857143,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,0.0,0.0,0.0,0.0,--,--,1.0,1.0,0.2857142857142857,0.6666666666666666
12,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,Royce Gracie,Jason DeLucia,Submission,1,1:07,No Time Limit,John McCarthy,Armbar From Mount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,---,---,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,---,100%,1.0,0.0,1.0,0.0,--,--,0.0,0.0,0.0,0.0
13,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,Patrick Smith,Johnny Rhodes,Submission,1,1:07,No Time Limit,John McCarthy,Guillotine Choke Standing,0.0,0.0,0.0,0.0,5.0,4.0,12.0,9.0,4.0,5.0,5.0,7.0,41%,44%,5.0,4.0,12.0,9.0,4.0,5.0,5.0,7.0,0.4166666666666667,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,---,---,1.0,0.0,0.0,0.0,--,--,1.0,0.4166666666666667,1.0,0.4444444444444444
14,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,Royce Gracie,Remco Pardoel,Submission,1,1:31,No Time Limit,John McCarthy,Gi Choke From Back Control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,---,---,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,50%,---,1.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0
15,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,UFC 2 Tournament Title Bout,Royce Gracie,Patrick Smith,KO/TKO,1,1:17,No Time Limit,John McCarthy,Punches to Head From Mount Submission to Strikes,0.0,0.0,0.0,0.0,4.0,1.0,4.0,2.0,1.0,4.0,1.0,0.0,100%,50%,11.0,2.0,11.0,3.0,2.0,11.0,1.0,0.0,1.0,0.6666666666666666,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,50%,---,0.0,0.0,0.0,0.0,--,--,0.3636363636363636,1.0,0.6666666666666666,0.6
16,"September 09, 1994","Charlotte, North Carolina, USA",UFC 3: The American Dream,W,L,Open Weight Bout,Keith Hackney,Emmanuel Yarborough,KO/TKO,1,1:59,No Time Limit,John McCarthy,Punches to Head On Ground,1.0,0.0,0.0,1.0,34.0,1.0,50.0,5.0,1.0,34.0,4.0,16.0,68%,20%,36.0,4.0,52.0,9.0,4.0,36.0,5.0,16.0,0.6923076923076923,0.4444444444444444,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,---,0%,0.0,0.0,0.0,0.0,--,--,0.9615384615384616,0.6862745098039216,0.5555555555555556,0.3571428571428571
17,"September 09, 1994","Charlotte, North Carolina, USA",UFC 3: The American Dream,W,L,Open Weight Bout,Ken Shamrock,Christophe Leninger,KO/TKO,1,4:49,No Time Limit,John McCarthy,Punches to Head From Half Guard Submission to Strikes,0.0,0.0,0.0,0.0,8.0,1.0,9.0,2.0,1.0,8.0,1.0,1.0,88%,50%,16.0,21.0,20.0,23.0,21.0,16.0,2.0,4.0,0.8,0.9130434782608696,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,0.0,0.0,0.0,0.0,--,--,0.45,0.8275862068965517,0.0869565217391304,0.88
18,"September 09, 1994","Charlotte, North Carolina, USA",UFC 3: The American Dream,W,L,Open Weight Bout,Harold Howard,Roland Payne,KO/TKO,1,0:46,No Time Limit,John McCarthy,Punches to Head In Clinch,1.0,0.0,0.0,1.0,9.0,3.0,12.0,4.0,3.0,9.0,1.0,3.0,75%,75%,12.0,3.0,15.0,4.0,3.0,12.0,1.0,3.0,0.8,0.75,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0%,50%,0.0,0.0,0.0,0.0,--,--,0.8,0.7777777777777778,1.0,0.75
19,"September 09, 1994","Charlotte, North Carolina, USA",UFC 3: The American Dream,W,L,Open Weight Bout,Royce Gracie,Kimo Leopoldo,Submission,1,4:40,No Time Limit,John McCarthy,Armbar From Bottom Guard,0.0,0.0,0.0,0.0,2.0,6.0,6.0,9.0,6.0,2.0,3.0,4.0,33%,66%,17.0,6.0,21.0,10.0,6.0,17.0,4.0,4.0,0.8095238095238095,0.6,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0%,100%,1.0,0.0,1.0,1.0,--,--,0.2857142857142857,0.7037037037037037,0.9,0.631578947368421
20,"September 09, 1994","Charlotte, North Carolina, USA",UFC 3: The American Dream,W,L,Open Weight Bout,Ken Shamrock,Felix Lee Mitchell,Submission,1,4:34,No Time Limit,John McCarthy,Rear Naked Choke,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,3.0,4.0,0.0,0.0,100%,100%,7.0,21.0,7.0,22.0,21.0,7.0,1.0,0.0,1.0,0.9545454545454546,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,50%,---,1.0,0.0,0.0,0.0,--,--,0.5714285714285714,1.0,0.1363636363636363,0.96
21,"September 09, 1994","Charlotte, North Carolina, USA",UFC 3: The American Dream,W,L,UFC 3 Tournament Title Bout,Steve Jennum,Harold Howard,KO/TKO,1,1:27,No Time Limit,John McCarthy,Punches to Head From Mount Submission to Strikes,0.0,0.0,0.0,0.0,6.0,2.0,11.0,6.0,2.0,6.0,4.0,5.0,54%,33%,7.0,3.0,13.0,7.0,3.0,7.0,4.0,6.0,0.5384615384615384,0.4285714285714285,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,0.0,1.0,0.0,0.0,--,--,0.8461538461538461,0.5416666666666666,0.8571428571428571,0.3846153846153846
22,"December 16, 1994","Tulsa, Oklahoma, USA",UFC 4: Revenge of the Warriors,W,L,Open Weight Bout,Joe Charles,Kevin Rosier,Submission,1,0:14,No Time Limit,John McCarthy,Armbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"December 16, 1994","Tulsa, Oklahoma, USA",UFC 4: Revenge of the Warriors,W,L,Open Weight Bout,Marcus Bossett,Eldo Xavier Dias,KO/TKO,1,4:55,No Time Limit,John McCarthy,to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"December 16, 1994","Tulsa, Oklahoma, USA",UFC 4: Revenge of the Warriors,W,L,Open Weight Bout,Guy Mezger,Jason Fairn,KO/TKO,1,2:13,No Time Limit,John McCarthy,to Corner Stoppage,0.0,1.0,1.0,0.0,19.0,9.0,30.0,12.0,9.0,19.0,3.0,11.0,63%,75%,23.0,12.0,34.0,15.0,12.0,23.0,3.0,11.0,0.6764705882352942,0.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,0.0,0.0,0.0,0.0,--,--,0.8823529411764706,0.65625,0.8,0.7777777777777778
25,"December 16, 1994","Tulsa, Oklahoma, USA",UFC 4: Revenge of the Warriors,W,L,Open Weight Bout,Royce Gracie,Ron van Clief,Submission,1,3:49,No Time Limit,John McCarthy,Rear Naked Choke,0.0,0.0,0.0,0.0,7.0,0.0,11.0,2.0,0.0,7.0,2.0,4.0,63%,0%,27.0,0.0,31.0,2.0,0.0,27.0,2.0,4.0,0.8709677419354839,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,1.0,0.0,0.0,0.0,--,--,0.3548387096774194,0.8095238095238095,1.0,0.0
26,"December 16, 1994","Tulsa, Oklahoma, USA",UFC 4: Revenge of the Warriors,W,L,Open Weight Bout,Keith Hackney,Joe Son,Submission,1,2:44,No Time Limit,John McCarthy,Other - Choke From Side Control,0.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0,0.0,8.0,0.0,6.0,57%,---,10.0,4.0,16.0,4.0,4.0,10.0,0.0,6.0,0.625,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,---,100%,1.0,1.0,0.0,0.0,--,--,0.875,0.6,0.0,1.0
27,"December 16, 1994","Tulsa, Oklahoma, USA",UFC 4: Revenge of the Warriors,W,L,Open Weight Bout,Steve Jennum,Melton Bowen,Submission,1,4:47,No Time Limit,John McCarthy,Armbar From Mount,0.0,0.0,0.0,0.0,13.0,1.0,40.0,4.0,1.0,13.0,3.0,27.0,32%,25%,29.0,48.0,70.0,59.0,48.0,29.0,11.0,41.0,0.4142857142857143,0.8135593220338984,2.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,66%,---,1.0,0.0,0.0,0.0,--,--,0.5714285714285714,0.3818181818181818,0.0677966101694915,0.7777777777777778
28,"December 16, 1994","Tulsa, Oklahoma, USA",UFC 4: Revenge of the Warriors,W,L,Open Weight Bout,Dan Severn,Anthony Macias,Submission,1,1:45,No Time Limit,John McCarthy,Rear Naked Choke,0.0,0.0,0.0,0.0,0.0,8.0,0.0,9.0,8.0,0.0,1.0,0.0,---,88%,0.0,12.0,0.0,14.0,12.0,0.0,2.0,0.0,0.0,0.8571428571428571,2.0,0.0,5.0,0.0,0.0,2.0,0.0,3.0,40%,---,1.0,0.0,0.0,0.0,--,--,0.0,0.0,0.6428571428571429,0.8695652173913043
29,"December 16, 1994","Tulsa, Oklahoma, USA",UFC 4: Revenge of the Warriors,W,L,Open Weight Bout,Royce Gracie,Keith Hackney,Submission,1,5:32,No Time Limit,John McCarthy,Armbar From Bottom Guard,0.0,0.0,0.0,0.0,11.0,4.0,23.0,13.0,4.0,11.0,9.0,12.0,47%,30%,45.0,7.0,58.0,16.0,7.0,45.0,9.0,13.0,0.7758620689655172,0.4375,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0%,---,3.0,0.0,0.0,0.0,--,--,0.396551724137931,0.691358024691358,0.8125,0.3793103448275862
30,"December 16, 1994","Tulsa, Oklahoma, USA",UFC 4: Revenge of the Warriors,W,L,Open Weight Bout,Dan Severn,Marcus Bossett,Submission,1,0:52,No Time Limit,John McCarthy,Arm Triangle From Mount,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,---,50%,0.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,1.0,0.0,0.0,0.0,--,--,0.0,0.0,0.6666666666666666,0.6
31,"December 16, 1994","Tulsa, Oklahoma, USA",UFC 4: Revenge of the Warriors,W,L,UFC 4 Tournament Title Bout,Royce Gracie,Dan Severn,Submission,1,15:49,No Time Limit,John McCarthy,Triangle Choke From Bottom Guard,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,4.0,0.0,3.0,4.0,0%,57%,80.0,27.0,84.0,43.0,27.0,80.0,16.0,4.0,0.9523809523809524,0.627906976744186,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,---,100%,3.0,0.0,0.0,0.0,--,--,0.0476190476190476,0.9090909090909092,0.1627906976744186,0.62
32,"April 07, 1995","Charlotte, North Carolina, USA",UFC 5: The Return of the Beast,W,L,Open Weight Bout,Dave Beneteau,Asbel Cancio,KO/TKO,1,0:21,1 Rnd (20),Lonnie Foster,to Corner Stoppage,0.0,0.0,0.0,0.0,12.0,0.0,18.0,0.0,0.0,12.0,0.0,6.0,66%,---,12.0,0.0,18.0,0.0,0.0,12.0,0.0,6.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,0.0,0.0,0.0,0.0,--,--,1.0,0.6666666666666666,0.0,0.0
33,"April 07, 1995","Charlotte, North Carolina, USA",UFC 5: The Return of the Beast,W,L,Open Weight Bout,Guy Mezger,John Dowdy,KO/TKO,1,2:02,1 Rnd (20),John McCarthy,Punches to Head From Mount,1.0,0.0,0.0,1.0,12.0,0.0,17.0,4.0,0.0,12.0,4.0,5.0,70%,0%,15.0,2.0,20.0,7.0,2.0,15.0,5.0,5.0,0.75,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,---,---,0.0,0.0,0.0,0.0,--,--,0.85,0.7297297297297297,0.5714285714285714,0.1818181818181818
34,"April 07, 1995","Charlotte, North Carolina, USA",UFC 5: The Return of the Beast,W,L,Open Weight Bout,Jon Hess,Andy Anderson,KO/TKO,1,1:23,1 Rnd (20),John McCarthy,Knees to Head On Ground,0.0,0.0,0.0,0.0,17.0,2.0,28.0,2.0,2.0,17.0,0.0,11.0,60%,100%,30.0,6.0,41.0,6.0,6.0,30.0,0.0,11.0,0.7317073170731707,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,---,0%,0.0,0.0,0.0,1.0,--,--,0.6829268292682927,0.6811594202898551,0.3333333333333333,1.0
35,"April 07, 1995","Charlotte, North Carolina, USA",UFC 5: The Return of the Beast,W,L,Open Weight Bout,Todd Medina,Larry Cureton,Submission,1,2:55,1 Rnd (20),John McCarthy,Forearm Choke From Half Guard,0.0,0.0,0.0,0.0,4.0,1.0,4.0,2.0,1.0,4.0,1.0,0.0,100%,50%,64.0,15.0,66.0,16.0,15.0,64.0,1.0,2.0,0.9696969696969696,0.9375,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,1.0,0.0,0.0,0.0,--,--,0.0606060606060606,0.9714285714285714,0.125,0.8888888888888888
36,"April 07, 1995","Charlotte, North Carolina, USA",UFC 5: The Return of the Beast,W,L,Open Weight Bout,Oleg Taktarov,Ernie Verdicia,Submission,1,2:23,1 Rnd (20),John McCarthy,Scarf Hold From Side Control,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,3.0,0.0,---,40%,0.0,7.0,0.0,11.0,7.0,0.0,4.0,0.0,0.0,0.6363636363636364,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0%,---,1.0,0.0,1.0,0.0,--,--,0.0,0.0,0.4545454545454545,0.5625
37,"April 07, 1995","Charlotte, North Carolina, USA",UFC 5: The Return of the Beast,W,L,Open Weight Bout,Dan Severn,Joe Charles,Submission,1,1:38,1 Rnd (20),John McCarthy,Rear Naked Choke,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,2.0,0.0,2.0,50%,100%,12.0,1.0,19.0,2.0,1.0,12.0,1.0,7.0,0.631578947368421,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,1.0,0.0,0.0,0.0,--,--,0.2105263157894736,0.6086956521739131,0.5,0.6666666666666666
38,"April 07, 1995","Charlotte, North Carolina, USA",UFC 5: The Return of the Beast,W,L,Open Weight Bout,Dave Beneteau,Todd Medina,KO/TKO,1,2:12,1 Rnd (20),John McCarthy,Punches to Head From Mount Submission to Strikes,0.0,0.0,0.0,0.0,8.0,0.0,13.0,0.0,0.0,8.0,0.0,5.0,61%,---,22.0,0.0,28.0,0.0,0.0,22.0,0.0,6.0,0.7857142857142857,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,0.0,0.0,0.0,0.0,--,--,0.4642857142857143,0.7317073170731707,0.0,0.0
39,"April 07, 1995","Charlotte, North Carolina, USA",UFC 5: The Return of the Beast,W,L,Open Weight Bout,Dan Severn,Oleg Taktarov,TKO - Doctor's Stoppage,1,4:21,1 Rnd (20),John McCarthy,,0.0,0.0,0.0,0.0,9.0,0.0,17.0,0.0,0.0,9.0,0.0,8.0,52%,---,38.0,0.0,64.0,0.0,0.0,38.0,0.0,26.0,0.59375,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,0.0,0.0,0.0,0.0,--,--,0.265625,0.5802469135802469,0.0,0.0
40,"April 07, 1995","Charlotte, North Carolina, USA",UFC 5: The Return of the Beast,D,D,UFC Superfight Championship Bout,Ken Shamrock,Royce Gracie,Other,2,5:00,1 Rnd + OT (31-5),John McCarthy,Time Expired,0.0,0.0,0.0,0.0,10.0,3.0,22.0,12.0,3.0,10.0,9.0,12.0,45%,25%,98.0,355.0,123.0,366.0,355.0,98.0,11.0,25.0,0.7967479674796748,0.9699453551912568,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,100%,0%,0.0,0.0,0.0,0.0,--,--,0.1788617886178861,0.7448275862068966,0.0327868852459016,0.9470899470899472
41,"April 07, 1995","Charlotte, North Carolina, USA",UFC 5: The Return of the Beast,W,L,UFC 5 Tournament Title Bout,Dan Severn,Dave Beneteau,Submission,1,3:01,1 Rnd (30),John McCarthy,Keylock From Side Control,0.0,0.0,0.0,0.0,2.0,2.0,3.0,6.0,2.0,2.0,4.0,1.0,66%,33%,11.0,5.0,13.0,10.0,5.0,11.0,5.0,2.0,0.8461538461538461,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,1.0,0.0,0.0,0.0,--,--,0.2307692307692307,0.8125,0.6,0.4375
42,"July 14, 1995","Casper, Wyoming, USA",UFC 6: Clash of the Titans,W,L,Open Weight Bout,Joel Sutton,Jack McGlaughlin,KO/TKO,1,2:01,1 Rnd (20),John McCarthy,Punches to Head From Back Control Submission to Strikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"July 14, 1995","Casper, Wyoming, USA",UFC 6: Clash of the Titans,W,L,Open Weight Bout,Anthony Macias,He-Man Gipson,KO/TKO,1,3:06,1 Rnd (20),John McCarthy,Headbutts to Head From Mount Submission to Strikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"July 14, 1995","Casper, Wyoming, USA",UFC 6: Clash of the Titans,W,L,Open Weight Bout,David Abbott,John Matua,KO/TKO,1,0:20,1 Rnd (20),John McCarthy,Punches to Head At Distance,2.0,0.0,0.0,2.0,7.0,0.0,12.0,0.0,0.0,7.0,0.0,5.0,58%,---,7.0,0.0,12.0,0.0,0.0,7.0,0.0,5.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,---,---,0.0,0.0,0.0,0.0,--,--,1.0,0.5833333333333334,0.0,0.0
45,"July 14, 1995","Casper, Wyoming, USA",UFC 6: Clash of the Titans,W,L,Open Weight Bout,Paul Varelans,Cal Worsham,KO/TKO,1,1:02,1 Rnd (20),John McCarthy,Elbow to Head In Clinch,1.0,0.0,0.0,1.0,8.0,9.0,22.0,33.0,9.0,8.0,24.0,14.0,36%,27%,12.0,11.0,27.0,35.0,11.0,12.0,24.0,15.0,0.4444444444444444,0.3142857142857143,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,---,0%,0.0,0.0,0.0,0.0,--,--,0.8148148148148148,0.4081632653061224,0.9428571428571428,0.2941176470588235
46,"July 14, 1995","Casper, Wyoming, USA",UFC 6: Clash of the Titans,W,L,Open Weight Bout,Patrick Smith,Rudyard Moncayo,Submission,1,1:08,1 Rnd (20),John McCarthy,Rear Naked Choke,1.0,0.0,0.0,1.0,6.0,0.0,8.0,0.0,0.0,6.0,0.0,2.0,75%,---,10.0,2.0,13.0,2.0,2.0,10.0,0.0,3.0,0.7692307692307693,1.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,100%,0%,1.0,0.0,0.0,0.0,--,--,0.6153846153846154,0.7619047619047619,0.0,1.0
47,"July 14, 1995","Casper, Wyoming, USA",UFC 6: Clash of the Titans,W,L,Open Weight Bout,Oleg Taktarov,Dave Beneteau,Submission,1,0:57,1 Rnd (20),John McCarthy,Guillotine Choke After Drop to Guard,0.0,0.0,0.0,0.0,0.0,5.0,2.0,14.0,5.0,0.0,9.0,2.0,0%,35%,5.0,5.0,7.0,14.0,5.0,5.0,9.0,2.0,0.7142857142857143,0.3571428571428571,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0%,100%,1.0,0.0,0.0,0.0,--,--,0.2857142857142857,0.5555555555555556,1.0,0.3571428571428571
48,"July 14, 1995","Casper, Wyoming, USA",UFC 6: Clash of the Titans,W,L,Open Weight Bout,David Abbott,Paul Varelans,KO/TKO,1,1:53,1 Rnd (20),John McCarthy,Punches to Head From Half Guard,0.0,0.0,0.0,0.0,14.0,1.0,21.0,2.0,1.0,14.0,1.0,7.0,66%,50%,18.0,12.0,25.0,14.0,12.0,18.0,2.0,7.0,0.72,0.8571428571428571,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100%,---,0.0,0.0,0.0,0.0,--,--,0.84,0.6956521739130435,0.1428571428571428,0.8125
